pair,grain.yield,grain.number,seed.size,anthesis,silking,plant.height,tassel.height,ear.height
F918_FP1,0.8381,0.9637,0.5656,0.7514,0.8603,0.9774,0.9293,0.9715
F918_FR19,0.6696,0.803,0.6327,0.9309,0.9827,0.8821,0.906,0.8179
F918_FR697,0.9416,0.967,0.9535,0.8705,0.9243,0.9571,0.9075,0.827
F918_H99,0.8253,0.9608,0.7418,0.952,0.9804,0.6439,0.4922,0.2668
F918_HMV5301,0.8773,0.9926,0.8148,0.8485,0.7677,0.8425,0.9521,0.8263
F918_HMV5325,0.9117,0.8223,0.7251,0.9503,0.7888,0.672,0.7062,0.9624
F918_HMV5343,0.9658,0.9736,0.9096,0.8564,0.7263,0.751,0.7271,0.7546
F918_HMV5347,0.9057,0.894,0.999,0.817,0.7111,0.8171,0.7351,0.7544
F918_HMV5405,0.9156,0.9436,0.9959,0.9495,0.7914,0.9624,0.8835,0.8038
F918_HMV5409,0.9786,0.9656,0.9315,0.935,0.8079,0.6656,0.6239,0.6221
F918_HMV5422,0.7431,0.5767,0.6599,0.8515,0.9401,0.5221,0.6408,0.8757
F918_HMV5502,0.9096,0.8147,0.7769,0.7995,0.8952,0.9558,0.961,0.8399
F918_I198,0.8779,0.8374,0.4855,0.6626,0.6132,0.8295,0.9171,0.925
F918_I233,0.962,0.7443,0.6935,0.5376,0.5528,0.9171,0.9126,0.9896
F918_I238,0.9166,0.7599,0.4462,0.8055,0.8965,0.9037,0.9744,0.9385
F918_I242,0.8169,0.9686,0.6305,0.8077,0.8335,0.9829,0.9039,0.8704
F918_I261,0.8316,0.9474,0.6523,0.8018,0.8177,0.7529,0.6688,0.9474
F918_I267,0.8477,0.9878,0.6846,0.5936,0.5793,0.9859,0.8705,0.7332
F918_IDT,0.8581,0.8827,0.9671,0.9274,0.8827,0.8437,0.8422,0.5734
F918_LAN496,0.7089,0.9517,0.5182,0.8815,0.8262,0.8275,0.8053,0.954
F918_LH123Ht,0.9807,0.8548,0.715,0.6779,0.7918,0.9241,0.9451,0.9934
F918_LH145,0.8807,0.9882,0.654,0.8697,0.834,0.7427,0.8364,0.6597
F918_LH38,0.9514,0.9915,0.8517,0.916,0.9039,0.6957,0.5169,0.4917
F918_LH39,0.923,0.9492,0.701,0.7607,0.7539,0.6636,0.6765,0.5162
F918_LH59,0.9724,0.9011,0.826,0.8812,0.892,0.8888,0.9,0.7282
F918_LH60,0.8408,0.6993,0.8169,0.7666,0.8664,0.8982,0.8899,0.7949
F918_LH65,0.9124,0.8322,0.8948,0.7685,0.815,0.9763,0.7939,0.9392
F918_LH74,0.9251,0.9163,0.6997,0.9597,0.8879,0.7575,0.8025,0.7003
F918_LH82,0.9904,0.7287,0.4949,0.9177,0.7129,0.7341,0.5951,0.6059
F918_LH93,0.8137,0.5564,0.5957,0.8125,0.8747,0.7778,0.5561,0.872
F918_Lo1016,0.8126,0.6517,0.7356,0.7519,0.8527,0.8073,0.7927,0.8757
F918_Lo1026,0.8586,0.69,0.6972,0.9762,0.9851,0.98,0.9367,0.9117
F918_Lo1035,0.8122,0.6837,0.8122,0.7163,0.8133,0.9542,0.914,0.9415
F918_Lo1038,0.651,0.3561,0.6273,0.6482,0.6515,0.9336,0.981,0.8564
F918_Lo1056,0.8699,0.6824,0.7154,0.5947,0.6651,0.9858,0.9692,0.9941
F918_Lo1063,0.9126,0.703,0.7163,0.5507,0.8022,0.691,0.7295,0.8336
F918_Lo1087,0.5762,0.4395,0.8376,0.5205,0.6659,0.9696,0.9741,0.9454
F918_Lo1094,0.8508,0.6765,0.6597,0.8076,0.9781,0.8711,0.8982,0.8139
F918_Lo1095,0.7372,0.6304,0.8464,0.7815,0.8334,0.8969,0.9763,0.7603
F918_Lo1101,0.8383,0.7163,0.8117,0.9611,0.7885,0.9622,0.9544,0.7219
F918_Lo1106,0.7857,0.6938,0.848,0.7837,0.921,0.9863,0.9548,0.9751
F918_Lo1123,0.9532,0.9221,0.8819,0.9815,0.8207,0.891,0.8812,0.7456
F918_Lo1124,0.9155,0.909,0.9703,0.8034,0.917,0.9881,0.9734,0.6506
F918_Lo1172,0.8213,0.7499,0.8376,0.8195,0.968,0.9589,0.9975,0.795
F918_Lo1180,0.9951,0.8995,0.7588,0.9485,0.8453,0.8716,0.7399,0.9334
F918_Lo1187,0.9488,0.7916,0.7158,0.9485,0.959,0.8295,0.8484,0.8965
F918_Lo1199,0.8007,0.6189,0.6885,0.782,0.9752,0.8671,0.9236,0.9766
F918_Lo1203,0.7109,0.4851,0.6524,0.7611,0.9478,0.8533,0.7943,0.9727
F918_Lo1223,0.6896,0.6221,0.8695,0.8275,0.9893,0.8797,0.9268,0.8355
F918_Lo1242,0.8849,0.8182,0.9081,0.9318,0.9481,0.9837,0.9586,0.6376
F918_Lo1251,0.6575,0.556,0.8939,0.6802,0.7589,0.9344,0.8054,1.0
F918_Lo1253,0.6377,0.6035,0.8729,0.7884,0.8921,0.6543,0.7353,0.7586
F918_Lo1261,0.6951,0.5733,0.7938,0.7953,0.9342,0.9735,0.9972,0.9978
F918_Lo1266,0.6893,0.6534,0.911,0.7638,0.9506,0.9412,0.9681,0.7851
F918_Lo1270,0.7824,0.6605,0.7959,0.6993,0.7858,0.9656,0.9137,0.8192
F918_Lo1273,0.863,0.8597,0.9845,0.8541,0.9748,0.7724,0.7063,0.8287
F918_Lo1274,0.9688,0.9378,0.9293,0.9006,0.999,0.9458,0.8017,0.5904
F918_Lo1280,0.9532,0.9452,0.8101,0.9078,0.9574,0.9765,0.9875,0.7507
F918_Lo1282,0.7431,0.7353,0.9906,0.8254,0.8282,0.8699,0.8781,0.9127
F918_Lo1284,0.9012,0.9157,0.9734,0.9689,0.9514,0.9638,0.8424,0.5374
F918_Lo1288,0.6399,0.6165,0.9503,0.6339,0.8197,0.9605,0.8206,0.9172
F918_Lo1290,0.8634,0.8162,0.9166,0.8025,0.8885,0.9377,0.9286,0.6658
F918_Lo1301,0.6708,0.4434,0.641,0.8857,0.9168,0.8704,0.8889,0.7742
F918_Lo904,0.7653,0.6016,0.7556,0.8913,0.9894,0.9641,0.9435,0.9545
F918_Lp5,0.9838,0.8861,0.7496,0.8556,0.7662,0.8333,0.9054,0.706
F918_ML606,0.9377,0.8472,0.7894,0.8763,0.8956,0.8685,0.7285,0.7068
F918_MS153,0.7445,0.8255,0.8605,0.8464,0.897,0.8983,0.8897,0.9519
F918_MS71,0.7797,0.947,0.6267,0.9834,0.9781,0.7541,0.7247,0.6495
F918_Mo15W,0.8791,0.9824,0.8715,0.6824,0.637,0.9102,0.8025,0.946
F918_Mo17,0.9651,0.9953,0.9898,0.7614,0.7554,0.9667,0.9335,1.0
F918_N16,0.8429,0.8132,0.4099,0.6275,0.7124,0.934,0.9974,0.9138
F918_N192,0.9241,0.986,0.777,0.8254,0.7678,0.7357,0.6713,0.5654
F918_N22,0.8263,0.9632,0.5893,0.8146,0.7802,0.789,0.6645,0.8131
F918_N25,0.6821,0.8064,0.7883,0.838,0.7689,0.9327,0.9474,0.8154
F918_N6,0.7515,0.9077,0.6936,0.9561,0.9941,0.7798,0.6068,0.7018
F918_NC290,0.9541,0.8363,0.8498,0.8348,0.8126,0.9922,0.9681,0.6568
F918_NC358,0.9404,0.6093,0.4474,0.6793,0.6617,0.968,0.8858,0.8788
F918_NDB8,0.6272,0.7217,0.7466,0.7957,0.7101,0.7037,0.6371,0.8648
F918_NK764,0.8512,0.9908,0.6482,0.8075,0.7924,0.6487,0.5642,0.5039
F918_NK807,0.87,0.9763,0.7693,0.7811,0.695,0.8755,0.8451,0.7128
F918_NQ508,0.9088,0.8196,0.817,0.9575,0.9773,0.9352,0.9642,0.9835
F918_NS701,0.9036,0.8589,0.9018,0.8925,0.968,0.935,0.9603,0.9167
F918_Oh02,0.9973,0.9331,0.8301,0.5988,0.7028,0.8351,0.9273,0.7657
F918_Oh33,0.7433,0.9293,0.5443,0.9851,0.9758,0.9303,0.8081,0.7218
F918_Oh40B,0.8395,0.9581,0.7989,0.9464,0.9173,0.9537,0.9975,0.7695
F918_Oh43,0.9733,0.8658,0.7399,0.9031,0.9462,0.899,0.8814,0.7382
F918_Os426,0.7753,0.8759,0.7563,0.7477,0.7932,0.866,0.9818,0.7718
F918_P465P,0.8998,0.8578,0.597,0.994,0.9614,0.9564,0.8946,0.8241
F918_PB116,0.6908,0.8802,0.5217,0.9582,0.8995,0.8901,0.8857,0.8855
F918_PB98TR,0.8224,0.9535,0.7029,0.8502,0.7596,0.8744,0.8933,0.8393
F918_PH207,0.959,0.976,0.8021,0.6418,0.633,0.7781,0.7219,0.6564
F918_PHB09,0.9568,0.9989,0.9223,0.9741,0.9409,0.8932,0.7592,0.8643
F918_PHG35,0.7151,0.651,0.8438,0.6929,0.8891,0.8955,0.8015,0.9093
F918_PHG39,0.8587,0.8107,0.8969,0.7965,0.9503,0.8959,0.9962,0.8484
F918_PHG47,0.9503,0.8893,0.6483,0.837,0.7566,0.7508,0.7308,0.5003
F918_PHG50,0.9752,0.8716,0.7069,0.8024,0.779,0.8116,0.7173,0.702
F918_PHG71,0.9594,0.9853,0.8457,0.8074,0.7481,0.7352,0.5967,0.7227
F918_PHG80,0.8976,0.8494,0.899,0.908,0.963,0.7808,0.6279,0.7049
F918_PHG83,0.884,0.8585,0.8976,0.9645,0.9825,0.9255,0.7857,0.664
F918_PHG84,0.8779,0.7843,0.8306,0.6683,0.7828,0.9631,0.9604,0.7949
F918_PHG86,0.8903,0.7571,0.7174,0.8595,0.9246,0.9932,0.9593,0.9234
F918_PHH93,0.8783,0.9951,0.7095,0.7845,0.7262,0.7526,0.638,0.7195
F918_PHJ40,0.8596,0.9794,0.7196,0.7917,0.6799,0.786,0.682,0.7208
F918_PHK29,0.7612,0.6298,0.7677,0.892,0.8774,0.94,0.8838,0.8897
F918_PHK76,0.9006,0.8531,0.8705,0.9199,0.8786,0.9507,0.9253,0.832
F918_PHR36,0.9574,0.7918,0.6746,0.991,0.9608,0.8872,0.67,0.8879
F918_PHT77,0.9892,0.8293,0.7008,0.9576,0.9941,0.923,0.8734,0.7681
F918_PHV63,0.8883,0.6757,0.6149,0.7959,0.9,0.7596,0.7239,0.8136
F918_PHW65,0.7602,0.6903,0.8467,0.7275,0.8658,0.866,0.7906,0.6969
F918_PHZ51,0.8448,0.7203,0.7548,0.761,0.8724,0.7159,0.8133,0.8966
F918_Pa36,0.4238,0.6768,0.3021,0.644,0.6573,0.6786,0.5982,0.7049
F918_Pa405,0.6876,0.915,0.4884,0.9228,0.979,0.8443,0.8033,0.7682
F918_Pa91,0.9619,0.859,0.8961,0.6547,0.7053,0.9922,0.9143,0.9315
F918_SC-Malawi,0.9927,0.964,0.983,0.5102,0.5165,0.9668,0.9138,0.854
F918_SGI061,0.8399,0.7952,0.87,0.9687,0.8635,0.8772,0.856,0.9704
F918_UH250,0.8343,0.9397,0.6839,0.6417,0.5636,0.7212,0.6384,0.6581
F918_UH304,0.9704,0.9434,0.7581,0.695,0.6024,0.7234,0.717,0.6484
F918_UH_2500,0.602,0.8363,0.4346,0.8252,0.8322,0.7673,0.7428,0.6474
F918_UH_6102,0.8741,0.9921,0.7121,0.7068,0.6426,0.84,0.723,0.6532
F918_UH_6179,0.8865,0.9764,0.7383,0.6779,0.6557,0.9433,0.992,0.8053
F918_UH_P024,0.9931,0.9544,0.8512,0.6623,0.6152,0.8937,0.9733,0.6149
F918_UH_P060,0.813,0.9106,0.7039,0.688,0.6716,0.7574,0.694,0.6041
F918_UH_P064,0.9343,0.9379,0.8843,0.787,0.664,0.9088,0.9498,0.8097
F918_UH_P074,0.8982,0.9243,0.8284,0.6382,0.6007,0.7946,0.7238,0.7505
F918_UH_P087,0.7508,0.834,0.8137,0.6575,0.6156,0.8392,0.7478,0.7772
F918_UH_P089,0.9344,0.946,0.7001,0.835,0.8561,0.757,0.8453,0.6194
F918_UH_P104,0.8182,0.8981,0.6857,0.5351,0.4835,0.7418,0.6997,0.6379
F918_UH_P115,0.9046,0.9441,0.5771,0.7695,0.7176,0.9041,0.9164,0.8234
F918_UH_P128,0.9307,0.9705,0.8254,0.7515,0.7558,0.8064,0.7704,0.7761
F918_UH_P148,0.9564,0.9633,0.9125,0.6895,0.6254,0.7372,0.776,0.5161
F918_UH_S018,0.9927,0.7925,0.5881,0.998,0.9486,0.9451,0.8101,0.8965
F918_UH_S020,0.9865,0.9025,0.7701,0.876,0.9672,0.9575,0.9383,0.9345
F918_UH_S025,0.9039,0.9604,0.612,0.8025,0.7541,0.8373,0.7759,0.6779
F918_Va26,0.9593,0.8923,0.7618,0.9615,0.9806,0.8147,0.9023,0.9546
F918_W117,0.7291,0.8196,0.7008,0.6026,0.7314,0.558,0.5471,0.4963
F918_W153R,0.8169,0.8562,0.8751,0.6814,0.7652,0.8768,0.7003,0.7316
F918_W182E,0.6945,0.762,0.8132,0.5778,0.5484,0.687,0.5699,0.5736
F918_W23,0.6371,0.9205,0.3967,0.9312,0.9452,0.8748,0.9902,0.9285
F918_W602S,0.809,0.8877,0.4757,0.8805,0.9845,0.8285,0.7544,0.7899
F918_W604S,0.8756,0.965,0.814,0.883,0.997,0.9159,0.9841,0.8458
F918_W64A,0.856,0.9905,0.7422,0.8781,0.8472,0.717,0.7324,0.6175
F918_W9,0.6122,0.9096,0.3334,0.6886,0.7611,0.7518,0.6461,0.5894
F918_W95115,0.7153,0.8143,0.7241,0.8521,0.8909,0.7193,0.5842,0.5538
F918_Wf9,0.835,0.96,0.7874,0.9887,0.9563,0.9408,0.9363,0.7577
F922_F924,0.8114,0.8153,0.9108,0.912,0.9255,0.8387,0.7466,0.8959
F922_F98902,0.9107,0.9643,0.8467,0.9659,0.972,0.8462,0.949,0.8595
F922_FP1,0.9267,0.9672,0.9688,0.8444,0.9011,0.8803,0.79,0.9349
F922_FR19,0.7582,0.7339,0.9642,0.9762,0.7787,0.7849,0.7668,0.9116
F922_FR697,0.853,0.9639,0.5504,0.7775,0.6856,0.8599,0.7682,0.9206
F922_H99,0.914,0.8917,0.8551,0.9551,0.7418,0.5468,0.3529,0.3605
F922_HMV5301,0.7887,0.9383,0.4117,0.9415,0.9937,0.9397,0.9086,0.9199
F922_HMV5325,0.823,0.8914,0.8718,0.9567,0.9725,0.7692,0.8455,0.8688
F922_HMV5343,0.9455,0.9573,0.6873,0.9494,0.965,0.6539,0.5878,0.8482
F922_HMV5347,0.9944,0.8249,0.5959,0.9099,0.9497,0.7199,0.5958,0.8481
F922_HMV5405,0.827,0.9873,0.5928,0.9576,0.9699,0.8652,0.7442,0.8974
F922_HMV5409,0.9327,0.8965,0.5284,0.972,0.9534,0.5684,0.4846,0.7157
F922_HMV5422,0.6544,0.6457,0.937,0.7585,0.8212,0.6192,0.7801,0.7821
F922_HMV5502,0.821,0.8838,0.82,0.7065,0.6565,0.9471,0.8217,0.7463
F922_I198,0.9665,0.9065,0.8886,0.5696,0.3745,0.7323,0.7778,0.9813
F922_I233,0.8734,0.8134,0.9034,0.4446,0.3142,0.9857,0.9481,0.9168
F922_I238,0.9948,0.829,0.8493,0.7125,0.6579,0.9991,0.8863,0.9679
F922_I242,0.9055,0.8995,0.9664,0.7147,0.5948,0.9199,0.7646,0.7767
F922_I261,0.9203,0.9835,0.9446,0.7089,0.5791,0.6557,0.5295,0.959
F922_I267,0.9364,0.9431,0.9123,0.5007,0.3407,0.9169,0.7312,0.6395
F922_IDT,0.9467,0.8136,0.6298,0.8344,0.644,0.7465,0.7029,0.667
F922_LAN496,0.7976,0.8826,0.9213,0.7885,0.5875,0.7303,0.666,0.9524
F922_LH123Ht,0.9307,0.9238,0.8819,0.5849,0.5531,0.9788,0.9156,0.913
F922_LH145,0.9694,0.9427,0.9429,0.9626,0.9274,0.6456,0.6971,0.7534
F922_LH38,0.96,0.9394,0.7452,0.991,0.8575,0.5985,0.3776,0.5853
F922_LH39,0.9884,0.9817,0.8959,0.8537,0.9925,0.5664,0.5373,0.6098
F922_LH59,0.9389,0.9702,0.7709,0.7883,0.6534,0.7916,0.7607,0.8218
F922_LH60,0.7521,0.7684,0.78,0.6736,0.6277,0.801,0.9708,0.8886
F922_LH65,0.8237,0.9013,0.7021,0.6756,0.5764,0.9265,0.9332,0.9671
F922_LH74,0.9863,0.9854,0.8972,0.8668,0.8735,0.6604,0.6632,0.7939
F922_LH82,0.9018,0.7978,0.898,0.9894,0.9516,0.6369,0.4558,0.6996
F922_LH93,0.725,0.6255,0.9988,0.7196,0.6361,0.6806,0.4168,0.9656
F922_Lo1016,0.724,0.7208,0.8613,0.6589,0.614,0.9044,0.932,0.7821
F922_Lo1026,0.77,0.7591,0.8997,0.8833,0.7763,0.9229,0.924,0.9946
F922_Lo1035,0.7235,0.7527,0.7847,0.6233,0.5746,0.9487,0.9467,0.9649
F922_Lo1038,0.5624,0.4252,0.9695,0.5553,0.4129,0.9693,0.8417,0.95
F922_Lo1056,0.7813,0.7515,0.8815,0.5017,0.4264,0.8886,0.8915,0.9005
F922_Lo1063,0.824,0.7721,0.8806,0.4577,0.5636,0.5938,0.5902,0.9272
F922_Lo1087,0.4876,0.5086,0.7592,0.4276,0.4273,0.8725,0.8866,0.961
F922_Lo1094,0.7622,0.7456,0.9372,0.7146,0.7395,0.7739,0.7589,0.9076
F922_Lo1095,0.6486,0.6995,0.7505,0.6886,0.5948,0.7997,0.8844,0.8539
F922_Lo1101,0.7497,0.7854,0.7852,0.946,0.9728,0.8651,0.9063,0.8155
F922_Lo1106,0.6971,0.7629,0.7489,0.6907,0.6823,0.9166,0.9059,0.9313
F922_Lo1123,0.8646,0.9912,0.715,0.8885,0.9406,0.7938,0.7419,0.8393
F922_Lo1124,0.8268,0.9781,0.5672,0.7105,0.6784,0.8909,0.8873,0.7442
F922_Lo1172,0.7326,0.819,0.7593,0.7266,0.7934,0.944,0.8582,0.8886
F922_Lo1180,0.9065,0.9686,0.8381,0.9586,0.916,0.7744,0.6006,0.973
F922_Lo1187,0.8602,0.8606,0.8811,0.8555,0.8024,0.7324,0.7091,0.9901
F922_Lo1199,0.712,0.688,0.9084,0.689,0.7366,0.9643,0.9371,0.9297
F922_Lo1203,0.6222,0.5542,0.9445,0.6681,0.7092,0.9505,0.9336,0.9337
F922_Lo1223,0.601,0.6912,0.7274,0.7345,0.7506,0.9768,0.9339,0.9291
F922_Lo1242,0.7962,0.8873,0.6888,0.8389,0.8133,0.8865,0.9021,0.7312
F922_Lo1251,0.5689,0.6251,0.7029,0.5872,0.5203,0.9684,0.9447,0.9063
F922_Lo1253,0.5491,0.6726,0.724,0.6954,0.6535,0.7515,0.8746,0.6649
F922_Lo1261,0.6064,0.6424,0.8031,0.7024,0.6956,0.9294,0.8635,0.9086
F922_Lo1266,0.6006,0.7225,0.6859,0.6708,0.712,0.9616,0.8926,0.8787
F922_Lo1270,0.6938,0.7296,0.801,0.6064,0.5472,0.9373,0.947,0.9129
F922_Lo1273,0.7744,0.9288,0.6124,0.7611,0.7865,0.6752,0.567,0.9224
F922_Lo1274,0.8801,0.9931,0.6676,0.8077,0.7604,0.957,0.941,0.6841
F922_Lo1280,0.8646,0.9857,0.407,0.8148,0.7187,0.8793,0.8482,0.8443
F922_Lo1282,0.6545,0.8044,0.6063,0.7325,0.5896,0.9671,0.9826,0.9936
F922_Lo1284,0.8125,0.9848,0.6235,0.8759,0.7127,0.8666,0.7031,0.6311
F922_Lo1288,0.5513,0.6856,0.6466,0.5409,0.5811,0.8633,0.6813,0.9892
F922_Lo1290,0.7748,0.8853,0.6803,0.7095,0.6499,0.8406,0.7893,0.7595
F922_Lo1301,0.5822,0.5125,0.9559,0.7927,0.8446,0.7732,0.7496,0.8678
F922_Lo904,0.6766,0.6707,0.8413,0.7983,0.7507,0.9388,0.9172,0.9518
F922_Lp5,0.9276,0.9552,0.8473,0.9486,0.9951,0.7361,0.7661,0.7996
F922_ML606,0.849,0.9163,0.8075,0.9693,0.8658,0.7713,0.5892,0.8005
F922_MS153,0.8331,0.7564,0.7364,0.9394,0.8644,0.8011,0.7504,0.9544
F922_MS71,0.8684,0.8779,0.9702,0.8904,0.7395,0.657,0.5854,0.7431
F922_Mo15W,0.9678,0.9133,0.7254,0.5895,0.3984,0.8131,0.6632,0.9603
F922_Mo17,0.9462,0.9262,0.6071,0.6684,0.5167,0.8696,0.7942,0.9064
F922_N16,0.9315,0.8823,0.8131,0.5345,0.4738,0.9688,0.8633,0.8202
F922_N192,0.9873,0.9449,0.8199,0.9184,0.9935,0.6386,0.532,0.6591
F922_N22,0.9149,0.9677,0.9924,0.7217,0.5416,0.6918,0.5252,0.9067
F922_N25,0.7707,0.7373,0.8086,0.7451,0.5303,0.8355,0.8081,0.909
F922_N6,0.8401,0.8386,0.9032,0.9509,0.7673,0.6826,0.4675,0.7954
F922_NC290,0.8655,0.9054,0.7471,0.7418,0.574,0.895,0.8926,0.7505
F922_NC358,0.971,0.6784,0.8505,0.5864,0.4231,0.9348,0.7465,0.9725
F922_NDB8,0.7159,0.6526,0.8503,0.8887,0.9488,0.6066,0.4978,0.9584
F922_NK764,0.9399,0.9401,0.9486,0.9005,0.969,0.5516,0.4249,0.5975
F922_NK807,0.9587,0.9072,0.8276,0.8741,0.9337,0.7783,0.7058,0.8065
F922_NQ508,0.8201,0.8887,0.7799,0.8646,0.7841,0.838,0.8249,0.8899
F922_NS701,0.815,0.928,0.6951,0.7995,0.7933,0.8379,0.821,0.9896
F922_Oh02,0.9087,0.9979,0.7668,0.5058,0.4641,0.9323,0.9334,0.6721
F922_Oh33,0.8319,0.8602,0.9474,0.9219,0.7855,0.8331,0.6688,0.8154
F922_Oh40B,0.9282,0.889,0.798,0.8534,0.6786,0.8565,0.8632,0.8632
F922_Oh43,0.9381,0.9349,0.857,0.9961,0.8152,0.8018,0.7421,0.8318
F922_Os426,0.8639,0.8069,0.8406,0.6547,0.5546,0.9631,0.8789,0.6781
F922_P465P,0.9885,0.9269,0.9999,0.913,0.7227,0.8593,0.7553,0.9177
F922_PB116,0.7794,0.8111,0.9248,0.8653,0.8618,0.7929,0.7464,0.9792
F922_PB98TR,0.9111,0.8844,0.894,0.7572,0.521,0.9716,0.9674,0.7456
F922_PH207,0.9523,0.9549,0.7948,0.7348,0.8716,0.681,0.5826,0.75
F922_PHB09,0.9546,0.9298,0.6746,0.8811,0.8205,0.7961,0.6199,0.9579
F922_PHG35,0.6264,0.72,0.7531,0.6,0.6504,0.9927,0.9408,0.9971
F922_PHG39,0.7701,0.8798,0.7,0.7035,0.7116,0.9931,0.8645,0.942
F922_PHG47,0.9611,0.9584,0.9486,0.93,0.9953,0.6537,0.5915,0.594
F922_PHG50,0.8865,0.9407,0.89,0.8953,0.9824,0.7145,0.578,0.7957
F922_PHG71,0.952,0.9162,0.7512,0.9003,0.9868,0.6381,0.4574,0.8163
F922_PHG80,0.809,0.9185,0.6979,0.815,0.7983,0.6836,0.4886,0.7985
F922_PHG83,0.7954,0.9276,0.6993,0.8715,0.7788,0.8284,0.6464,0.7577
F922_PHG84,0.7893,0.8534,0.7663,0.5753,0.5442,0.9397,0.8211,0.8886
F922_PHG86,0.8016,0.8262,0.8795,0.7665,0.8367,0.896,0.82,0.983
F922_PHH93,0.9669,0.926,0.8874,0.8775,0.9649,0.6554,0.4987,0.8132
F922_PHJ40,0.9482,0.9103,0.8773,0.8847,0.9185,0.6889,0.5427,0.8144
F922_PHK29,0.6726,0.6989,0.8292,0.7991,0.6387,0.8428,0.7445,0.9833
F922_PHK76,0.812,0.9222,0.7264,0.8269,0.8828,0.9522,0.9354,0.9256
F922_PHR36,0.8688,0.8609,0.9222,0.898,0.8006,0.79,0.5307,0.9815
F922_PHT77,0.9005,0.8984,0.8961,0.8646,0.7672,0.8259,0.7341,0.8617
F922_PHV63,0.7997,0.7448,0.982,0.7029,0.6614,0.6625,0.5846,0.9072
F922_PHW65,0.6715,0.7594,0.7502,0.6345,0.6271,0.7689,0.6513,0.7905
F922_PHZ51,0.7561,0.7894,0.8421,0.668,0.6338,0.813,0.9526,0.803
F922_Pa36,0.5124,0.6077,0.7052,0.737,0.896,0.5815,0.4589,0.7985
F922_Pa405,0.7762,0.8459,0.8915,0.9843,0.7824,0.7472,0.664,0.8619
F922_Pa91,0.8733,0.9281,0.7008,0.5618,0.4667,0.8951,0.775,0.9749
F922_SC-Malawi,0.9187,0.9669,0.5799,0.4172,0.2779,0.8697,0.7745,0.7604
F922_SGI061,0.7513,0.8643,0.7269,0.8757,0.8979,0.9744,0.9952,0.936
F922_UH250,0.923,0.8706,0.913,0.7347,0.8023,0.624,0.4991,0.7518
F922_UH304,0.941,0.9875,0.8388,0.7879,0.841,0.6262,0.5777,0.742
F922_UH_2500,0.6906,0.7672,0.8377,0.9182,0.9292,0.6702,0.6035,0.741
F922_UH_6102,0.9627,0.923,0.8848,0.7998,0.8813,0.7428,0.5837,0.7468
F922_UH_6179,0.9752,0.9073,0.8586,0.7708,0.8943,0.8461,0.8687,0.8989
F922_UH_P024,0.9182,0.9765,0.7457,0.7552,0.8538,0.7965,0.834,0.7085
F922_UH_P060,0.9016,0.8415,0.893,0.781,0.9102,0.6602,0.5547,0.6977
F922_UH_P064,0.9771,0.8688,0.7126,0.88,0.9027,0.8116,0.9109,0.9033
F922_UH_P074,0.9869,0.8552,0.7685,0.7312,0.8393,0.6975,0.5845,0.8441
F922_UH_P087,0.8394,0.7649,0.7832,0.7504,0.8542,0.7421,0.6085,0.8708
F922_UH_P089,0.977,0.9849,0.8968,0.9279,0.9053,0.6599,0.706,0.713
F922_UH_P104,0.9068,0.829,0.9112,0.6281,0.7221,0.6446,0.5604,0.7316
F922_UH_P115,0.9932,0.9868,0.9802,0.8624,0.9562,0.8069,0.7771,0.917
F922_UH_P128,0.9807,0.9014,0.7715,0.8444,0.9944,0.7093,0.6311,0.8698
F922_UH_P148,0.9549,0.8942,0.6844,0.7824,0.864,0.6401,0.6367,0.6097
F922_UH_S018,0.904,0.8616,0.9912,0.905,0.7099,0.848,0.6708,0.9902
F922_UH_S020,0.8978,0.9716,0.8268,0.783,0.7285,0.9453,0.9224,0.8408
F922_UH_S025,0.9925,0.9705,0.9849,0.8955,0.9928,0.7401,0.6366,0.7716
F922_Va26,0.9521,0.9614,0.8351,0.9455,0.7807,0.9119,0.9584,0.9518
F922_W117,0.8177,0.7505,0.8961,0.6956,0.97,0.4608,0.4078,0.5899
F922_W153R,0.9055,0.7871,0.7218,0.7744,0.9961,0.7797,0.561,0.8253
F922_W182E,0.7831,0.6929,0.7837,0.6708,0.787,0.5899,0.4306,0.6673
F922_W23,0.7257,0.8514,0.7998,0.9758,0.8161,0.972,0.8509,0.9779
F922_W602S,0.8977,0.9568,0.8788,0.9735,0.7458,0.7314,0.6151,0.8836
F922_W604S,0.9643,0.8959,0.7829,0.7901,0.7644,0.8187,0.8448,0.9394
F922_W64A,0.9446,0.9404,0.8547,0.9711,0.9141,0.6198,0.5931,0.7111
F922_W9,0.7008,0.8405,0.7365,0.7816,0.9997,0.6546,0.5068,0.683
F922_W95115,0.8039,0.7452,0.8728,0.945,0.8705,0.6221,0.4449,0.6475
F922_Wf9,0.9236,0.8909,0.8095,0.9184,0.7176,0.8436,0.797,0.8513
F924_F98902,0.9007,0.851,0.9359,0.9461,0.9535,0.6849,0.6956,0.7554
F924_FP1,0.7382,0.7825,0.8796,0.7564,0.9756,0.9585,0.9566,0.8308
F924_FR19,0.5696,0.5492,0.9466,0.9358,0.8532,0.9462,0.9799,0.9844
F924_FR697,0.9584,0.7793,0.6396,0.8655,0.7601,0.9788,0.9784,0.9753
F924_H99,0.7254,0.707,0.9443,0.9569,0.8163,0.7081,0.6063,0.4646
F924_HMV5301,0.9773,0.7536,0.5009,0.8535,0.9318,0.7784,0.838,0.976
